"","pr","X0"
"452",1099,0
"453",1101,0
"454",1104,0
"455",1109,0
"456",1115,0
"457",1120,0
"458",1121,0
"459",1122,0
"460",1123,0
"461",1124,0
"462",1127,0
"463",1128,0
"464",1129,0
"465",1130,0
"466",1134,0
"467",1141,0
"468",1145,0
"469",1153,0
"470",1154,0
"471",1163,0
"472",1164,0
"473",1165,0
"474",1173,0
"475",1174,0
"476",1176,0
"477",1177,0
"478",1178,0
"479",1179,0
"480",1181,0
"481",1182,0
"482",1187,0
"483",1188,0
"484",1193,0
"485",1198,0
"486",1204,0
"487",1210,0
"488",1212,0
"489",1225,0
"490",1226,0
"491",1233,0
"492",1234,0
"493",1235,0
"494",1237,0
"495",1239,0
"496",1242,0
"497",1245,0
"498",1247,0
"499",1248,0
"500",1249,0
"501",1251,0
"502",1252,0
"503",1253,0
"504",1254,0
"505",1255,0
"506",1256,0
"507",1257,0
"508",1258,0
"509",1263,0
"510",1264,0
"511",1266,0
"512",1267,0
"513",1268,0
"514",1270,0
"515",1271,0
"516",1272,0
"517",1275,0
"518",1283,0
"519",1284,0
"520",1285,0
"521",1286,0
"522",1288,0
"523",1289,0
"524",1290,0
"525",1291,0
"526",1292,0
"527",1293,0
"528",1294,0
"529",1295,0
"530",1299,0
"531",1302,0
"532",1303,0
"533",1305,0
"534",1312,0
"535",1313,0
"536",1314,0
"537",1315,0
"538",1320,0
"539",1321,0
"540",1322,0
"541",1323,0
"542",1324,0
"543",1327,0
"544",1331,0
"545",1332,0
"546",1333,0
"547",1334,0
"548",1345,0
"549",1347,0
"550",1351,0
"551",1353,0
"552",1354,0
"553",1356,0
"554",1357,0
"555",1359,0
"556",1362,0
"557",1363,0
"558",1364,0
"559",1365,0
"560",1366,0
"561",1371,0
"562",1372,0
"563",1381,0
"564",1394,0
"565",1395,0
"566",1396,0
"567",1399,0
"568",1400,0
"569",1402,0
"570",1404,0
"571",1406,0
"572",1407,0
"573",1408,0
"574",1412,0
"575",1413,0
"576",1414,0
"577",1415,0
"578",1416,0
"579",1417,0
"580",1418,0
"581",1419,0
"582",1420,0
"583",1421,0
"584",1424,0
"585",1425,0
"586",1428,0
"587",1430,0
"588",1431,0
"589",1432,0
"590",1434,0
"591",1436,0
"592",1439,0
"593",1441,0
"594",1444,0
"595",1445,0
"596",1446,0
"597",1450,0
"598",1454,0
"599",1455,0
"600",1456,0
"601",1457,0
"602",1458,0
"603",1467,0
"604",1469,0
"605",1476,0
"606",1478,0
"607",1481,0
"608",1482,0
"609",1484,0
"610",1485,0
"611",1490,0
"612",1492,0
"613",1493,0
"614",1494,0
"615",1495,0
"616",1496,0
"617",1497,0
"618",1498,0
"619",1499,0
"620",1500,0
"621",1502,0
"622",1503,0
"623",1504,0
"624",1505,0
"625",1506,0
"626",1507,0
"627",1508,0
"628",1509,0
"629",1510,0
"630",1512,0
"631",1513,0
"632",1514,0
"633",1515,0
"634",1516,0
"635",1519,0
"636",1521,0
"637",1523,0
"638",1527,0
"639",1528,0
"640",1530,0
"641",1531,0
"642",1533,0
"643",1534,0
"644",1536,0
"645",1538,0
"646",1540,0
"647",1542,0
"648",1543,0
"649",1547,0
"650",1550,0
"651",1551,0
"652",1553,0
"653",1554,0
"654",1558,0
"655",1566,0
"656",1578,0
"657",1579,0
"658",1580,0
"659",1592,0
"660",1598,0
"661",1600,0
"662",1603,0
"663",1609,0
"664",1610,0
"665",1612,0
"666",1613,0
"667",1632,0
"668",1633,0
"669",1639,0
"670",1643,0
"671",1646,0
"672",1647,0
"673",1653,0
"674",1663,0
"675",1664,0
"676",1665,0
"677",1667,0
"678",1674,0
"679",1679,0
"680",1681,0
"681",1682,0
"682",1687,0
"683",1692,0
"684",1694,0
"685",1703,0
"686",1707,0
"687",1708,0
"688",1711,0
"689",1713,0
"690",1715,0
"691",1716,0
"692",1721,0
"693",1723,0
"694",1724,0
"695",1726,0
"696",1727,0
"697",1742,0
"698",1745,0
"699",1747,0
"700",1748,0
"701",1750,0
"702",1751,0
"703",1757,0
"704",1758,0
"705",1760,0
"706",1762,0
"707",1763,0
"708",1767,0
"709",1768,0
"710",1771,0
"711",1776,0
"712",1779,0
"713",1788,0
"714",1795,0
"715",1798,0
"716",1799,0
"717",1802,0
"718",1803,0
"719",1804,0
"720",1805,0
"721",1806,0
"722",1808,0
"723",1813,0
"724",1820,0
"725",1824,0
"726",1825,0
"727",1827,0
"728",1833,0
"729",1841,0
"730",1843,0
"731",1849,0
"732",1850,0
"733",1851,0
"734",1858,0
"735",1859,0
"736",1862,0
"737",1864,0
"738",1866,0
"739",1871,0
"740",1873,0
"741",1881,0
"742",1882,0
"743",1886,0
"744",1887,0
"745",1892,0
"746",1895,0
"747",1897,0
"748",1902,0
"749",1903,0
"750",1904,0
"751",1908,0
"752",1912,0
"753",1916,0
"754",1920,0
"755",1922,0
"756",1936,0
"757",1937,0
"758",1938,0
"759",1939,0
"760",1943,0
"761",1946,0
"762",1949,0
"763",1956,0
"764",1957,0
"765",1958,0
"766",1959,0
"767",1963,0
"768",1966,0
"769",1979,0
"770",1980,0
"771",1985,0
"772",1992,0
"773",1993,0
"774",1996,0
"775",2001,0
"776",2003,0
"777",2011,0
"778",2012,0
